participant_id,session_id,repetition_id,label,timestamp_ms,ax,ay,az,gx,gy,gz
septian,S1,R1,rotate,63132,0.282,-0.0217,-0.1092,-187.0921,59.543,-245.4888
septian,S1,R1,rotate,63142,0.2816,-0.0199,-0.1088,-189.012,78.6242,-245.9386
septian,S1,R1,rotate,63152,0.2813,-0.0178,-0.1082,-189.4098,98.9768,-246.3168
septian,S1,R1,rotate,63162,0.281,-0.0157,-0.1075,-188.9896,118.4478,-246.6386
septian,S1,R1,rotate,63172,0.2807,-0.0135,-0.1065,-188.3118,134.5157,-246.9152
septian,S1,R1,rotate,63182,0.2803,-0.0111,-0.1055,-188.2647,144.6551,-247.155
septian,S1,R1,rotate,63192,0.2798,-0.0082,-0.104,-188.9974,149.0823,-247.3648
septian,S1,R1,rotate,63202,0.2791,-0.0049,-0.1026,-190.1983,149.4656,-247.5495
septian,S1,R1,rotate,63212,0.278,-0.0011,-0.1012,-191.3824,148.0409,-247.7132
septian,S1,R1,rotate,63222,0.2765,0.0031,-0.0999,-192.2097,146.1337,-247.8592
septian,S1,R1,rotate,63232,0.2744,0.0074,-0.0986,-191.9729,145.4621,-247.9901
septian,S1,R1,rotate,63242,0.2719,0.0114,-0.0974,-190.3974,147.5331,-248.108
septian,S1,R1,rotate,63252,0.2691,0.015,-0.0964,-187.1355,153.0414,-248.2147
septian,S1,R1,rotate,63262,0.2662,0.0189,-0.0948,-182.027,162.1484,-248.3117
septian,S1,R1,rotate,63272,0.2635,0.0236,-0.093,-174.6994,173.7651,-248.4002
septian,S1,R1,rotate,63282,0.2611,0.0289,-0.0911,-164.169,185.167,-248.4812
septian,S1,R1,rotate,63292,0.2589,0.0348,-0.0893,-149.2535,191.8846,-248.5556
septian,S1,R1,rotate,63302,0.257,0.041,-0.0877,-129.009,190.6195,-248.6241
septian,S1,R1,rotate,63312,0.2552,0.0469,-0.0864,-102.9466,182.4856,-248.6874
septian,S1,R1,rotate,63322,0.2535,0.0522,-0.0853,-71.1759,167.3525,-248.7461
septian,S1,R1,rotate,63332,0.2517,0.0567,-0.084,-36.4161,142.9842,-248.8006
septian,S1,R1,rotate,63342,0.2498,0.0604,-0.0827,-3.9651,107.241,-248.8513
septian,S1,R1,rotate,63352,0.2476,0.0633,-0.0816,20.3302,61.5789,-247.3422
septian,S1,R1,rotate,63362,0.2449,0.0658,-0.0806,34.1138,15.284,-242.7962
septian,S1,R1,rotate,63372,0.2418,0.0681,-0.0796,40.2947,-22.4673,-232.8489
septian,S1,R1,rotate,63382,0.2383,0.0702,-0.0788,42.2918,-46.4272,-212.5894
septian,S1,R1,rotate,63392,0.2345,0.0722,-0.078,42.4051,-56.167,-174.7382
septian,S1,R1,rotate,63402,0.2309,0.0738,-0.0773,41.5776,-55.4686,-115.6166
septian,S1,R1,rotate,63412,0.2276,0.0754,-0.0765,39.7034,-49.5155,-50.1091
septian,S1,R1,rotate,63422,0.2245,0.0774,-0.0755,36.8023,-40.9433,-3.2058
septian,S1,R1,rotate,63432,0.2216,0.0801,-0.0745,33.4893,-32.0912,23.8752
septian,S1,R1,rotate,63442,0.2188,0.0833,-0.0736,30.5225,-24.8594,46.5723
septian,S1,R1,rotate,63452,0.2162,0.0866,-0.0726,28.4818,-19.2987,72.4171
septian,S1,R1,rotate,63462,0.2137,0.0902,-0.0716,27.4102,-15.2041,101.487
septian,S1,R1,rotate,63472,0.2113,0.0941,-0.0706,27.1558,-12.6011,133.9237
septian,S1,R1,rotate,63482,0.209,0.0984,-0.0696,27.6986,-11.3225,171.2276
septian,S1,R1,rotate,63492,0.2066,0.1028,-0.0685,29.0338,-11.1141,197.8067
septian,S1,R1,rotate,63502,0.2042,0.1072,-0.0674,31.0839,-11.6236,214.5299
septian,S1,R1,rotate,63512,0.2018,0.1115,-0.0664,33.7218,-12.5639,224.7599
septian,S1,R1,rotate,63522,0.1995,0.1158,-0.0653,36.8432,-13.77,231.1759
