participant_id,session_id,repetition_id,label,ax_mean,ax_std,ax_min,ax_max,ax_range,ax_rms,ay_mean,ay_std,ay_min,ay_max,ay_range,ay_rms,az_mean,az_std,az_min,az_max,az_range,az_rms,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_rms,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_rms,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_rms
septian,S1,septian_seg1,lift,0.8345653333333334,0.3402187833314844,0.0862,1.2144,1.1281999999999999,0.9012480880053689,0.007149333333333333,0.0158447372826297,-0.026,0.0229,0.0489,0.017382999357609914,-0.172654,0.12607962438078565,-0.4605,-0.0326,0.4279,0.21378838930119662,7.666270000000001,21.76233349515549,-22.0621,49.4878,71.54990000000001,23.07316308760606,19.387265999999997,92.06266366503404,-124.7437,123.8909,248.6346,94.08187989222968,-1.6287806666666673,22.245521349133618,-61.6921,40.9876,102.6797,22.305069974220363
septian,S1,septian_seg1,lift,1.0265713333333333,0.11220610579742185,0.8459,1.2144,0.36849999999999994,1.0326852921388974,0.017086666666666663,0.00603114877577693,-0.0053,0.0234,0.0287,0.01811984915316166,-0.08891733333333332,0.032720775758258276,-0.1435,-0.0326,0.1109,0.09474672201893494,17.071667333333334,24.54051177221724,-22.0621,60.716,82.7781,29.89445673669842,-18.199361333333332,95.24059634315806,-124.7437,124.0749,248.8186,96.96384864856387,-0.4747239999999999,28.7404740776225,-69.6709,45.051,114.7219,28.744394463663117
septian,S1,septian_seg1,lift,0.9839120000000002,0.07250706257094315,0.8692,1.1064,0.23720000000000008,0.9865800007433085,0.019093999999999996,0.005814203642804404,0.0057,0.0253,0.0196,0.019959604204492633,-0.08887266666666667,0.026477126975729237,-0.1327,-0.0207,0.11200000000000002,0.0927328913241323,3.457252,23.038098564831603,-35.3421,60.716,96.0581,23.29606354890027,36.03635533333334,105.22676470458488,-110.1259,210.3825,320.5084,111.22630496381841,9.889502666666667,29.929935394657853,-69.6709,51.1462,120.81710000000001,31.521473565212652
dafa,S1,dafa_seg2,lift,0.6017306666666667,0.06348555945689976,0.4887,0.7379,0.24919999999999998,0.6050704186015596,0.029453333333333342,0.008267411256789448,0.0055,0.0424,0.0369,0.03059164809769708,-0.06887600000000002,0.014649185096789514,-0.0884,-0.0456,0.042800000000000005,0.07041663155817665,5.270223999999998,28.07001514642669,-45.6368,51.374,97.0108,28.5604798862134,-6.809758000000005,83.4830475201293,-115.7946,117.8762,233.67079999999999,83.7603248994817,1.7903553333333335,26.10151143583205,-48.2614,38.1628,86.4242,26.162841425473395
dafa,S1,dafa_seg2,lift,0.6784966666666666,0.062114022481955626,0.5474,0.7397,0.19230000000000003,0.6813338964609545,0.03838,0.004500074073464421,0.0252,0.0431,0.0179,0.038642917419194255,-0.07946399999999999,0.009639517830265164,-0.0934,-0.0634,0.03,0.08004653396618744,3.085660666666666,26.697505955755236,-45.6368,46.7858,92.4226,26.875232575875508,23.188142666666668,90.45820334835335,-99.2941,151.3048,250.59890000000001,93.38295622511494,4.988469999999999,18.973465469842353,-39.2656,38.1628,77.4284,19.618288021032825
dafa,S1,dafa_seg2,lift,0.7598073333333334,0.05208599568235422,0.6924,0.8394,0.14700000000000002,0.7615905295717202,0.03896733333333333,0.003338073230006929,0.0335,0.0436,0.010099999999999998,0.03911004730245157,-0.06964333333333333,0.014626644257047555,-0.0934,-0.0481,0.0453,0.07116271917233068,12.992946666666667,17.253218348152387,-19.0926,46.5545,65.6471,21.5983843481837,-21.572836666666664,103.54130280920519,-135.7773,151.3048,287.08209999999997,105.7647799093545,1.3678239999999997,18.5710469784615,-31.9068,58.6366,90.5434,18.621351410979816
dafa,S1,dafa_seg2,lift,0.7984773333333334,0.03221280107176166,0.7196,0.8551,0.13549999999999995,0.7991268462515823,0.035324,0.0025420904783268437,0.0323,0.0436,0.011299999999999998,0.035415352603073144,-0.06642866666666666,0.011233416438861728,-0.0828,-0.0481,0.0347,0.06737178489545902,6.498884666666667,16.025339628666163,-20.1968,29.5265,49.723299999999995,17.292975803045966,14.825819333333332,108.78536534905217,-135.7773,149.5779,285.35519999999997,109.79098611922292,4.323150000000001,21.778291877413924,-31.9068,58.6366,90.5434,22.20323451707731
dafa,S1,dafa_seg2,lift,0.8313133333333333,0.04379985489575152,0.7667,0.8927,0.126,0.8324663869890884,0.033624,0.001148835932585676,0.0314,0.0367,0.005300000000000006,0.033643620494827844,-0.06509866666666668,0.0120286601452069,-0.0828,-0.0471,0.035699999999999996,0.06620064249436455,8.169534,16.839824520328115,-20.1968,39.6231,59.819900000000004,18.716863403161334,4.579008666666662,103.35951028246082,-133.3169,138.4506,271.76750000000004,103.46088964531252,-0.07829399999999927,16.494232087103377,-32.5084,39.0978,71.6062,16.494417907088042
dafa,S1,dafa_seg2,lift,0.8666159999999998,0.02907682486104699,0.8199,0.928,0.10810000000000008,0.867103657701892,0.03379066666666666,0.0012092612988468985,0.0314,0.0365,0.0051,0.03381229756562938,-0.05396133333333334,0.01589418672205519,-0.077,-0.0165,0.0605,0.056253450264554146,12.475503333333332,20.625474319450745,-22.9122,47.3639,70.2761,24.104945018031742,-9.40672133333334,116.48435784537115,-191.8108,154.0463,345.8571,116.86356159595455,-1.1541606666666662,12.557553090205095,-32.5084,15.903,48.4114,12.610480817867336
dzaki,S1,dzaki_seg3,lift,0.5503399999999999,0.046180376784950544,0.4996,0.6133,0.11369999999999997,0.5522741554699079,0.009264666666666666,0.003567653508337876,0.0042,0.0169,0.0127,0.009927849716831938,-0.06066799999999999,0.018463189756919036,-0.0858,-0.0318,0.054,0.06341526314697432,12.689592666666668,12.06666389847167,-5.7412,35.0858,40.827,17.510857765529366,-23.542010000000005,130.4115223865968,-228.2419,176.8901,405.13199999999995,132.51940011194563,0.6731493333333333,26.443292926204045,-36.7863,53.9874,90.77369999999999,26.45185949618665
dzaki,S1,dzaki_seg3,lift,0.606158,0.028564302360347144,0.5358,0.6785,0.14269999999999994,0.6068306521043028,0.010961333333333333,0.004169361048836567,0.0045,0.0196,0.015099999999999999,0.011727506128755593,-0.05030000000000001,0.011356067394422536,-0.0737,-0.0318,0.0419,0.051565979741169145,3.6507620000000003,18.251469404555422,-23.1121,35.0858,58.197900000000004,18.61301154048067,3.8128246666666685,124.04151977596584,-228.2419,168.9293,397.1712,124.10010580281576,1.0541326666666673,20.453826263945487,-36.7863,47.7313,84.51759999999999,20.480971766852274
dzaki,S1,dzaki_seg3,lift,0.6568526666666666,0.042815952940723184,0.5915,0.7051,0.11359999999999992,0.6582466342742159,0.019957333333333334,0.006266283818092578,0.0088,0.028,0.019200000000000002,0.0209179699461173,-0.049534666666666664,0.011943137425130614,-0.0712,-0.0303,0.0409,0.05095411399811926,4.684531333333335,20.249880635754,-23.1121,37.6156,60.7277,20.784669821175093,-0.6697646666666697,104.43254812870309,-154.8696,137.9743,292.84389999999996,104.43469583123513,-1.2711393333333332,12.598217645121586,-20.4949,18.0025,38.4974,12.662183186109733
dzaki,S1,dzaki_seg3,lift,0.700916,0.019729406411074138,0.6746,0.7494,0.07479999999999998,0.7011936170084075,0.028225333333333335,0.0031536684811325506,0.0199,0.0331,0.013199999999999996,0.02840096946702113,-0.04980933333333333,0.016183124324088007,-0.0741,-0.0228,0.0513,0.05237235148434716,3.304589333333332,22.45429527907195,-31.3257,37.6156,68.9413,22.696160184968146,1.9423866666666678,118.16377099206827,-154.8696,178.3904,333.26,118.17973447689243,2.9743373333333327,19.131316915011528,-23.1768,40.8363,64.01310000000001,19.36114587195362
dzaki,S1,dzaki_seg3,lift,0.7341120000000001,0.03222815315838003,0.6746,0.7719,0.09730000000000005,0.7348190814071175,0.03161666666666667,0.0016132954541007737,0.0282,0.036,0.007799999999999998,0.031657800513196326,-0.04420333333333334,0.018623706815657178,-0.0741,-0.0185,0.0556,0.047966416723926056,5.117493999999997,23.71199566257335,-31.3257,41.8033,73.129,24.257936498019227,6.744525333333337,111.24170078176331,-147.2577,178.3904,325.6481,111.4459717297639,1.3535486666666656,20.76719393375278,-32.8918,40.8363,73.72810000000001,20.811257479430054
gilang,S1,gilang_seg4,lift,0.2300833333333333,0.057584063092336775,0.1587,0.2967,0.138,0.2371798149084361,0.03268800000000001,0.025066184179753672,-0.0849,0.0617,0.1466,0.041192462093608016,-0.30513066666666666,0.024531883870225344,-0.3363,-0.2729,0.06340000000000001,0.30611523494701576,22.999112,96.01893885047325,-246.2834,189.29,435.5734,98.73497744345448,26.42505333333332,142.2865856252372,-202.7905,243.8584,446.6489,144.7195767426006,8.965403333333335,50.49655867660609,-139.1151,114.4633,253.57840000000002,51.28626419529177
